银行,上市时间,行业,主营业务,实际控制人,五年收入(亿),五年毛利(亿),面临问题,成就,危机
苏农银行,2016-11-29,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:38,2022:40,2023:41,2024:43,2025:45","2021:12,2022:15,2023:17,2024:19,2025:21",利息净收入承压,普惠金融服务,规模瓶颈
紫金银行,2019-01-03,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:45,2022:45,2023:44,2024:43,2025:42","2021:15,2022:16,2023:16,2024:17,2025:18",资产质量隐忧,南京郊区深耕,竞争加剧
渝农商行,2019-10-29,银行业,公司银行业务、零售银行业务、资金业务,重庆市国资委,"2021:308,2022:290,2023:280,2024:285,2025:290","2021:96,2022:103,2023:109,2024:115,2025:120",营收连续下滑,农商行领头羊,息差下行
沪农商行,2021-08-19,银行业,公司银行业务、零售银行业务、资金业务,上海国际集团,"2021:242,2022:256,2023:272,2024:285,2025:300","2021:97,2022:110,2023:121,2024:130,2025:140",资本补充压力,深耕上海郊区,资产收益率下降
厦门银行,2020-10-27,银行业,公司银行业务、零售银行业务、资金业务,厦门市财政局,"2021:53,2022:59,2023:56,2024:58,2025:60","2021:22,2022:25,2023:27,2024:29,2025:31",异地分支少,两岸金融特色,宏观风险
西安银行,2019-02-21,银行业,公司银行业务、零售银行业务、资金业务,西安市国资委,"2021:72,2022:65,2023:72,2024:75,2025:78","2021:28,2022:24,2023:25,2024:26,2025:27",盈利波动大,服务丝路起点,资产质量风险
兰州银行,2022-01-17,银行业,公司银行业务、零售银行业务、资金业务,兰州市财政局,"2021:78,2022:74,2023:80,2024:82,2025:85","2021:16,2022:17,2023:19,2024:20,2025:21",不良率偏高,深耕甘肃市场,地区经济压力
齐鲁银行,2021-06-18,银行业,公司银行业务、零售银行业务、资金业务,济南市国资委,"2021:102,2022:111,2023:120,2024:130,2025:140","2021:30,2022:36,2023:42,2024:48,2025:55",息差下行,服务山东县域,竞争压力
瑞丰银行,2021-06-25,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:33,2022:36,2023:38,2024:41,2025:45","2021:13,2022:15,2023:17,2024:20,2025:23",异地扩张受限,绍兴农村金融,规模较小
青农商行,2019-03-26,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:103,2022:99,2023:102,2024:105,2025:110","2021:31,2022:23,2023:25,2024:28,2025:31",不良处置压力,青岛农村金融,信贷风险
重庆银行,2021-02-05,银行业,公司银行业务、零售银行业务、资金业务,重庆市国资委,"2021:145,2022:139,2023:132,2024:135,2025:140","2021:47,2022:49,2023:49,2024:51,2025:53",息差承压,服务西部新通道,区域竞争
